,lon,lat,LR_latency,LR_uplink,LR_downlink,NN_uplink,NN_downlink,NN_latency
0,13.3235621,52.5126298,112.15990042491468,33.54080447700835,67.57680463972792,17.48308,40.841423,81.34401
1,13.3250856,52.5126951,112.5267490981496,33.20120874031272,67.67671567772777,17.470146,40.810547,81.28047
2,13.3269739,52.5128518,113.07285647149548,32.83353758154408,67.84362497655093,17.45445,40.77307,81.20336
3,13.3289266,52.5130216,130.09665053637582,27.075827328801097,61.836988987441146,27.795689,65.81137,132.32628
4,13.3301497,52.5130085,113.85866515754606,29.143490760157874,64.87605905785676,22.217346,52.211117,104.63986
5,13.3304715,52.5126168,113.44688233721536,28.786814971550484,64.6666246267232,22.211864,52.19751,104.61229
6,13.3309436,52.5123295,113.18948728591204,28.46547278442449,64.52273960892126,22.20461,52.179478,104.57583
7,13.3308792,52.5118202,112.5627864672424,28.123876074547297,64.23052930374615,22.204077,52.17819,104.57315
8,13.3306646,52.5114415,128.5221742116264,28.30827790009789,63.970121589623886,25.081518,59.188995,118.883026
9,13.3304501,52.5109974,127.94229643537255,25.267913769726874,60.74894032733209,27.764399,65.73539,132.17221
10,13.3298922,52.5104489,127.17472093575634,24.809595004611765,60.18642446933518,27.976187,66.253975,133.22095
11,13.3295488,52.5098482,109.93154641673028,26.8607074751053,62.82686412869225,22.471739,52.832672,105.90285
12,13.3290553,52.5093128,109.1922206672316,26.60934279220237,62.50213118890679,22.47698,52.84574,105.929214
13,13.3287334,52.5087642,108.4694131664146,26.305283295398112,62.17696542131307,22.479847,52.852913,105.943634
